var_name,logit,ols
Intercept,4.494625841661415,316.9858711569657
target_rating_gain,0.002401343094432855,0.3550583399301874
rating_latest,-0.0006696339899870534,-0.2668810098874112
target_rating_gain:rating_latest,-1.1567882739138303e-05,0.0009017426933056526
bullet,-3.502641572872125,160.7663452081777
target_rating_gain:bullet,0.00458225930328578,0.08560106920137496
rating_latest:bullet,0.002268482698579701,-0.10322264619424174
target_rating_gain:rating_latest:bullet,-3.4653834430276273e-06,-0.000532385414356643
blitz,-0.6336556297516651,136.54732039742862
target_rating_gain:blitz,0.0014564081556733637,-0.22151394959959134
rating_latest:blitz,0.0010583553908263623,-0.10418352228252917
target_rating_gain:rating_latest:blitz,-2.669686940916289e-06,-5.113164348616712e-05
classical,-3.090968048170988,40.70917087718215
target_rating_gain:classical,0.005197764143789194,0.19469667934986795
rating_latest:classical,0.001070945869430383,-0.023691629574903485
target_rating_gain:rating_latest:classical,-3.4539330067078783e-06,-0.00030802983657324853
target_rating_gain_squared,-8.788904458848792e-06,-0.0014678885440802636
target_rating_gain_squared:rating_latest,1.1370244612001468e-08,
rating_peak_diff,-0.004823968828376198,0.15461672430421572
rating_peak_diff:target_rating_gain,7.4150649225286925e-06,-0.00010344670057298711
rating_180_diff,0.0016182877021486439,-0.07562770355470176
rating_180_diff:bullet,-0.0014113551520299169,0.06632098076446816
rating_180_diff:blitz,-0.0021018119830444383,0.0735409725872801
rating_updates_30,0.011872207060650779,-1.9377631825751753
rating_updates_90,0.00631212345250611,-0.5295216596184622
rating_updates_90:bullet,-0.004634306214671243,
rating_updates_90:blitz,-0.01008437114269494,0.2829369900182137
rating_stdev_90,-0.0012683516882695653,
target_rating_gain_squared:bullet,,0.0010562621748692108
target_rating_gain_squared:blitz,,0.000735777088437619
rating_latest_squared,,8.978568268718336e-05
rating_peak_diff:bullet,,0.10135612354679326
rating_peak_diff:blitz,,0.11850401389263066
rating_90_diff,,0.02552997800862168
rating_30_diff,,0.08742704816760594
rating_30_diff:bullet,,-0.09686290666705114
rating_30_diff:classical,,-0.1559224048537762
rating_updates_90:classical,,-0.5301782745438568
rating_stdev_30,,-0.3121257978296271
